,lamda_com,lamda_atc,lamda_pro,AUC
1,0.001,0.001,0.001,0.854249798
2,0.001,0.01,0.001,0.858206807
3,0.001,0.1,0.001,0.855317784
4,0.001,0.3,0.001,0.850600192
5,0.001,0.5,0.001,0.84173244
6,0.001,0.7,0.001,0.839672683
7,0.001,0.9,0.001,0.83823947
8,0.001,0.001,0.001,0.856708449
9,0.001,0.01,0.001,0.859566907
10,0.001,0.1,0.001,0.851629207
11,0.001,0.3,0.001,0.84553742
12,0.001,0.5,0.001,0.841914288
13,0.001,0.7,0.001,0.838235217
14,0.001,0.9,0.001,0.838614224
15,0.001,0.001,0.01,0.852720748
16,0.001,0.01,0.01,0.864365577
17,0.001,0.1,0.01,0.854546409
18,0.001,0.3,0.01,0.84976641
19,0.001,0.5,0.01,0.846966181
20,0.001,0.7,0.01,0.843107617
21,0.001,0.9,0.01,0.837118997
22,0.001,0.001,0.1,0.856751582
23,0.001,0.01,0.1,0.860978261
24,0.001,0.1,0.1,0.859463116
25,0.001,0.3,0.1,0.848787554
26,0.001,0.5,0.1,0.850831748
27,0.001,0.7,0.1,0.841838673
28,0.001,0.9,0.1,0.83839836
29,0.001,0.001,0.3,0.854581668
30,0.001,0.01,0.3,0.862942702
31,0.001,0.1,0.3,0.851908973
32,0.001,0.3,0.3,0.846493989
33,0.001,0.5,0.3,0.845031561
34,0.001,0.7,0.3,0.84224949
35,0.001,0.9,0.3,0.840903129
36,0.001,0.001,0.5,0.856121023
37,0.001,0.01,0.5,0.851543211
38,0.001,0.1,0.5,0.852098604
39,0.001,0.3,0.5,0.846201698
40,0.001,0.5,0.5,0.842909796
41,0.001,0.7,0.5,0.847863627
42,0.001,0.9,0.5,0.836054438
43,0.001,0.001,0.7,0.853187041
44,0.001,0.01,0.7,0.857648998
45,0.001,0.1,0.7,0.850165938
46,0.001,0.3,0.7,0.849457832
47,0.001,0.5,0.7,0.845113615
48,0.001,0.7,0.7,0.839645874
49,0.001,0.9,0.7,0.84234636
50,0.001,0.001,0.9,0.847866123
51,0.001,0.01,0.9,0.856282519
52,0.001,0.1,0.9,0.851740128
53,0.001,0.3,0.9,0.845798681
54,0.001,0.5,0.9,0.843511506
55,0.001,0.7,0.9,0.840169777
56,0.001,0.9,0.9,0.84062528
57,0.01,0.001,0.001,0.861789364
58,0.01,0.01,0.001,0.866012444
59,0.01,0.1,0.001,0.865610105
60,0.01,0.3,0.001,0.860813212
61,0.01,0.5,0.001,0.856830133
62,0.01,0.7,0.001,0.854104158
63,0.01,0.9,0.001,0.851917601
64,0.01,0.001,0.01,0.856712805
65,0.01,0.01,0.01,0.860204405
66,0.01,0.1,0.01,0.863915162
67,0.01,0.3,0.01,0.859850387
68,0.01,0.5,0.01,0.858429961
69,0.01,0.7,0.01,0.854295225
70,0.01,0.9,0.01,0.8505193
71,0.01,0.001,0.1,0.857914875
72,0.01,0.01,0.1,0.865108038
73,0.01,0.1,0.1,0.862276873
74,0.01,0.3,0.1,0.864056258
75,0.01,0.5,0.1,0.862114845
76,0.01,0.7,0.1,0.857936453
77,0.01,0.9,0.1,0.855087718
78,0.01,0.001,0.3,0.859067255
79,0.01,0.01,0.3,0.862032754
80,0.01,0.1,0.3,0.863532759
81,0.01,0.3,0.3,0.8641124
82,0.01,0.5,0.3,0.858475229
83,0.01,0.7,0.3,0.856488087
84,0.01,0.9,0.3,0.852904232
85,0.01,0.001,0.5,0.860961885
86,0.01,0.01,0.5,0.870697748
87,0.01,0.1,0.5,0.868952993
88,0.01,0.3,0.5,0.867787791
89,0.01,0.5,0.5,0.862124649
90,0.01,0.7,0.5,0.857597685
91,0.01,0.9,0.5,0.856754799
92,0.01,0.001,0.7,0.858071254
93,0.01,0.01,0.7,0.866771391
94,0.01,0.1,0.7,0.866318367
95,0.01,0.3,0.7,0.859948633
96,0.01,0.5,0.7,0.862379921
97,0.01,0.7,0.7,0.857972121
98,0.01,0.9,0.7,0.856956297
99,0.01,0.001,0.9,0.859874719
100,0.01,0.01,0.9,0.870223662
101,0.01,0.1,0.9,0.865823004
102,0.01,0.3,0.9,0.862708329
103,0.01,0.5,0.9,0.861703002
104,0.01,0.7,0.9,0.860450938
105,0.01,0.9,0.9,0.855674043
106,0.1,0.001,0.001,0.849486656
